country,energy_type,produced_value,consumed_value,year,sector,C02_value,GHG_value
France,Solid fossil fuels,7.81,5.04,1990,Energy Industries,65.82,66.34
France,Solid fossil fuels,7.41,5.04,1991,Energy Industries,67.27,67.81
France,Solid fossil fuels,6.82,4.68,1992,Energy Industries,68.35,68.90
France,Solid fossil fuels,6.28,3.80,1993,Energy Industries,56.11,56.64
France,Solid fossil fuels,5.49,3.32,1994,Energy Industries,52.58,53.06
France,Solid fossil fuels,5.08,3.03,1995,Energy Industries,55.33,55.80
France,Solid fossil fuels,4.99,3.32,1996,Energy Industries,60.00,60.53
France,Solid fossil fuels,4.11,2.96,1997,Energy Industries,56.43,56.96
France,Solid fossil fuels,3.32,2.68,1998,Energy Industries,68.95,69.53
France,Solid fossil fuels,3.04,2.36,1999,Energy Industries,62.42,62.97
France,Solid fossil fuels,2.09,2.31,2000,Energy Industries,61.96,62.53
France,Solid fossil fuels,1.36,2.13,2001,Energy Industries,55.42,55.98
France,Solid fossil fuels,0.98,1.70,2002,Energy Industries,58.69,59.26
France,Solid fossil fuels,1.08,1.76,2003,Energy Industries,62.09,62.71
France,Solid fossil fuels,0.10,1.78,2004,Energy Industries,60.97,61.61
France,Solid fossil fuels,0.00,2.00,2005,Energy Industries,66.35,66.97
France,Solid fossil fuels,0.00,1.93,2006,Energy Industries,62.31,62.81
France,Solid fossil fuels,0.00,2.13,2007,Energy Industries,61.98,62.40
France,Solid fossil fuels,0.00,2.03,2008,Energy Industries,60.82,61.25
France,Solid fossil fuels,0.00,1.63,2009,Energy Industries,59.03,59.44
France,Solid fossil fuels,0.00,1.75,2010,Energy Industries,59.65,60.13
France,Solid fossil fuels,0.00,1.22,2011,Energy Industries,54.40,54.76
France,Solid fossil fuels,0.00,1.33,2012,Energy Industries,56.62,57.02
France,Solid fossil fuels,0.00,1.15,2013,Energy Industries,55.02,55.39
France,Solid fossil fuels,0.00,1.05,2014,Energy Industries,41.80,42.09
France,Solid fossil fuels,0.00,1.11,2015,Energy Industries,44.69,44.99
France,Solid fossil fuels,0.00,1.08,2016,Energy Industries,48.20,48.55
France,Solid fossil fuels,0.00,1.12,2017,Energy Industries,52.17,52.56
France,Solid fossil fuels,0.00,1.16,2018,Energy Industries,42.89,43.19
France,Solid fossil fuels,0.00,0.95,2019,Energy Industries,41.36,41.68
France,Solid fossil fuels,0.00,0.84,2020,Energy Industries,36.82,37.12
France,Natural gas,2.52,22.02,1990,Manufacturing Industries and Construction,64.59,65.16
France,Natural gas,2.86,25.19,1991,Manufacturing Industries and Construction,77.70,78.34
France,Natural gas,2.78,25.43,1992,Manufacturing Industries and Construction,68.01,68.58
France,Natural gas,2.88,25.54,1993,Manufacturing Industries and Construction,65.54,66.10
France,Natural gas,2.94,25.32,1994,Manufacturing Industries and Construction,66.70,67.19
France,Natural gas,2.79,25.86,1995,Manufacturing Industries and Construction,68.88,69.43
France,Natural gas,2.41,28.71,1996,Manufacturing Industries and Construction,71.02,71.56
France,Natural gas,2.13,28.30,1997,Manufacturing Industries and Construction,69.04,69.55
France,Natural gas,1.84,29.05,1998,Manufacturing Industries and Construction,68.06,68.74
France,Natural gas,1.67,30.33,1999,Manufacturing Industries and Construction,68.65,69.27
France,Natural gas,1.50,29.83,2000,Manufacturing Industries and Construction,67.11,67.67
