sector,C02_value,GHG_value,country
Energy Industries,78.54,78.88,Espagne
Energy Industries,78.93,79.30,Espagne
Energy Industries,86.74,87.16,Espagne
Energy Industries,80.88,81.30,Espagne
Energy Industries,80.83,81.26,Espagne
Energy Industries,86.58,87.08,Espagne
Energy Industries,73.53,73.99,Espagne
Energy Industries,86.11,86.63,Espagne
Energy Industries,85.50,86.00,Espagne
Energy Industries,100.77,101.34,Espagne
Energy Industries,105.27,105.85,Espagne
Energy Industries,99.73,100.29,Espagne
Energy Industries,113.71,114.34,Espagne
Energy Industries,106.53,107.17,Espagne
Energy Industries,116.32,117.04,Espagne
Energy Industries,125.98,126.83,Espagne
Energy Industries,120.77,121.79,Espagne
Energy Industries,126.56,127.62,Espagne
Energy Industries,108.92,109.99,Espagne
Energy Industries,91.51,92.46,Espagne
Energy Industries,74.57,75.37,Espagne
Energy Industries,87.43,88.22,Espagne
Energy Industries,92.59,93.34,Espagne
Energy Industries,72.34,73.01,Espagne
Energy Industries,75.62,76.27,Espagne
Energy Industries,85.72,86.43,Espagne
Energy Industries,70.46,71.05,Espagne
Energy Industries,80.77,81.53,Espagne
Energy Industries,71.51,72.26,Espagne
Energy Industries,56.35,57.08,Espagne
Energy Industries,43.02,43.56,Espagne
Manufacturing Industries and Construction,44.93,45.29,Espagne
Manufacturing Industries and Construction,49.33,49.70,Espagne
Manufacturing Industries and Construction,47.23,47.58,Espagne
Manufacturing Industries and Construction,46.04,46.40,Espagne
Manufacturing Industries and Construction,51.45,51.84,Espagne
Manufacturing Industries and Construction,59.09,59.59,Espagne
Manufacturing Industries and Construction,53.88,54.41,Espagne
Manufacturing Industries and Construction,53.13,53.70,Espagne
Manufacturing Industries and Construction,53.05,53.72,Espagne
Manufacturing Industries and Construction,54.79,55.58,Espagne
Manufacturing Industries and Construction,57.86,58.77,Espagne
Manufacturing Industries and Construction,60.17,61.15,Espagne
Manufacturing Industries and Construction,62.80,63.85,Espagne
Manufacturing Industries and Construction,67.36,68.60,Espagne
Manufacturing Industries and Construction,67.25,68.60,Espagne
Manufacturing Industries and Construction,68.37,69.83,Espagne
Manufacturing Industries and Construction,58.42,59.50,Espagne
Manufacturing Industries and Construction,60.36,61.51,Espagne
Manufacturing Industries and Construction,56.90,58.02,Espagne
Manufacturing Industries and Construction,47.04,47.99,Espagne
Manufacturing Industries and Construction,48.79,49.78,Espagne
Manufacturing Industries and Construction,45.65,46.62,Espagne
Manufacturing Industries and Construction,44.39,45.46,Espagne
Manufacturing Industries and Construction,41.24,42.35,Espagne
Manufacturing Industries and Construction,38.60,39.52,Espagne
Manufacturing Industries and Construction,39.17,40.07,Espagne
Manufacturing Industries and Construction,39.59,40.48,Espagne
Manufacturing Industries and Construction,43.33,44.40,Espagne
Manufacturing Industries and Construction,45.33,46.51,Espagne
Manufacturing Industries and Construction,45.15,46.32,Espagne
Manufacturing Industries and Construction,39.18,40.21,Espagne
Transport,57.74,58.67,Espagne
Transport,61.09,62.07,Espagne
Transport,65.06,66.08,Espagne
Transport,64.65,65.79,Espagne
Transport,68.14,69.79,Espagne
Transport,68.96,70.80,Espagne
Transport,73.55,75.66,Espagne
Transport,73.17,75.13,Espagne
Transport,79.82,81.75,Espagne
Transport,83.54,85.42,Espagne
Transport,85.20,86.57,Espagne
Transport,89.17,90.40,Espagne
Transport,90.97,92.13,Espagne
Transport,95.48,96.65,Espagne
Transport,99.16,100.32,Espagne
Transport,101.75,102.91,Espagne
Transport,105.03,106.20,Espagne
Transport,107.37,108.55,Espagne
Transport,101.49,102.62,Espagne
Transport,94.28,95.32,Espagne
Transport,90.96,91.99,Espagne
Transport,85.80,86.79,Espagne
Transport,78.68,79.61,Espagne
Transport,79.50,80.41,Espagne
Transport,79.76,80.68,Espagne
Transport,82.87,83.82,Espagne
Transport,85.68,86.67,Espagne
Transport,88.28,89.31,Espagne
Transport,89.38,90.45,Espagne
Transport,90.54,91.63,Espagne
Transport,73.35,74.26,Espagne
Agriculture/Forestry/Fisheries,8.70,8.80,Espagne
Agriculture/Forestry/Fisheries,9.01,9.11,Espagne
Agriculture/Forestry/Fisheries,9.27,9.38,Espagne
Agriculture/Forestry/Fisheries,9.31,9.42,Espagne
Agriculture/Forestry/Fisheries,9.35,9.46,Espagne
Agriculture/Forestry/Fisheries,9.31,9.42,Espagne
Agriculture/Forestry/Fisheries,9.31,9.42,Espagne
Agriculture/Forestry/Fisheries,9.32,9.43,Espagne
Agriculture/Forestry/Fisheries,9.50,9.62,Espagne
Agriculture/Forestry/Fisheries,9.88,9.99,Espagne
Agriculture/Forestry/Fisheries,10.09,10.21,Espagne
Agriculture/Forestry/Fisheries,10.12,10.24,Espagne
Agriculture/Forestry/Fisheries,10.28,10.40,Espagne
Agriculture/Forestry/Fisheries,11.11,11.24,Espagne
Agriculture/Forestry/Fisheries,11.50,11.63,Espagne
Agriculture/Forestry/Fisheries,11.12,11.25,Espagne
Agriculture/Forestry/Fisheries,11.16,11.29,Espagne
Agriculture/Forestry/Fisheries,11.24,11.37,Espagne
Agriculture/Forestry/Fisheries,10.55,10.68,Espagne
Agriculture/Forestry/Fisheries,10.33,10.47,Espagne
Agriculture/Forestry/Fisheries,10.50,10.64,Espagne
Agriculture/Forestry/Fisheries,11.25,11.39,Espagne
Agriculture/Forestry/Fisheries,11.75,11.90,Espagne
Agriculture/Forestry/Fisheries,11.80,11.95,Espagne
Agriculture/Forestry/Fisheries,12.73,12.89,Espagne
Agriculture/Forestry/Fisheries,11.34,11.50,Espagne
Agriculture/Forestry/Fisheries,11.52,11.68,Espagne
Agriculture/Forestry/Fisheries,11.32,11.48,Espagne
Agriculture/Forestry/Fisheries,11.62,11.78,Espagne
Agriculture/Forestry/Fisheries,11.66,11.82,Espagne
Agriculture/Forestry/Fisheries,11.65,11.81,Espagne
Energy Industries,29.55,29.75,Belgique
